,SUCEPTIBLE HOST,INFECTED HOST,RECOVERED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
0,1000.0,100.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1,997.704166913629,102.2857217471525,0.010111339218456137,9970.634530520561,9973.04975401199,9968.224608352428,9963.402376896192,9963.401846411467,9970.640359256073,999.3041860516927,999.3042351685548,999.3041370119324,999.3040388976973,999.3040388899828,999.3041861364711
2,995.4177798037498,104.56178060334233,0.020439592907949698,9941.510990061943,9946.3307666959,9936.71232981673,9927.105495517719,9927.103381237897,9941.534197687422,998.617036253731,998.6172351571297,998.6168379391336,998.6164410447337,998.6164409857971,998.6170369009761
3,993.1407781217017,106.8282383317097,0.03098354658867247,9912.626413629914,9919.840220092374,9905.459912199085,9891.105583974751,9891.10084467816,9912.678381160167,997.9384586646773,997.9389118802981,997.9380074489289,997.9371041162699,997.937103916001,997.9384608623604
4,990.8731025580793,109.08515543622086,0.041742005699865886,9883.977914540954,9893.575370770115,9874.464189605604,9855.398971071147,9855.390577280694,9884.069858999805,997.2683635027679,997.2691793179454,997.2675524799807,997.2659282739558,997.2659277938226,997.2683687674803
5,988.6146944341374,111.33259178228519,0.05271378357752299,9855.56265379419,9867.533520710394,9843.722048829151,9819.982047291016,9819.968981055796,9855.705631581184,996.6066622133404,996.607952621885,996.6053812741214,996.6028151249411,996.6028141758071,996.6066726125526
6,986.3654956591457,113.57060664008786,0.06389770076657691,9827.377837155642,9841.712014531657,9813.230426128444,9784.851261028152,9784.832515718193,9827.582747208671,995.9532673921639,995.9551480425628,995.951403295517,995.9476676330324,995.9476659730468,995.953285565559
7,984.125448732029,115.79925868293562,0.07529258503589614,9799.42071531297,9816.108239636897,9782.986307399773,9750.00311878822,9749.97769888846,9799.698302282892,995.3080927891677,995.3106829326122,995.3055292346685,995.3003901231956,995.3003874556751,995.3081219700845
8,981.894496735182,118.01860599349118,0.0868972713277888,9771.68858320352,9790.719625573043,9752.986727429958,9715.434184306854,9715.401105214387,9772.049440573564,994.6710532939571,994.6744757330425,994.6676709928076,994.6608882639038,994.6608842352543,994.6710973303199
9,979.6725833238204,120.22870607450935,0.0987106016716261,9744.178778860398,9765.543642930877,9723.228768613431,9681.141077035221,9681.099364862155,9744.633351970891,994.0420649107757,994.0464459493681,994.037741654929,994.0290690366253,994.0290632343371,994.0421282851405
10,977.4596527172127,122.42961585767597,0.11073142511277262,9716.888682459832,9740.57780243686,9693.709559893137,9647.120470889731,9647.069162270696,9717.44727145472,993.4210447379043,993.4265141319662,993.4156554675959,993.4048407107142,993.4048326614154,993.4211325867751
11,975.2556496815884,124.62139172084855,0.12295859756479187,9689.81571467446,9715.81965338425,9664.426274933969,9613.369092102706,9613.307234010235,9690.48847732056,992.8079109292916,992.8146018394999,992.8013277977597,992.7881127970526,992.7881019646634,992.8080290612876
12,973.0605195243419,126.80408949389454,0.13539098176577913,9662.957335968598,9691.266782960914,9635.376131337754,9579.883718293187,9579.810367856591,9663.754290414168,992.2025826802987,992.210631625324,992.1946751173485,992.1787960305288,992.1787818144609,992.2027375937405
13,970.8742080917797,128.97776446095583,0.1480274472673312,9636.311046188826,9666.916815858169,9606.556390184734,9546.661177920194,9546.5754022465,9637.24207368221,991.6049802210011,991.6145270310943,991.595614995933,991.5768023615557,991.5767840949379,991.6051791210966
14,968.6966617560306,131.14247137364936,0.1608668703236461,9609.874383251017,9642.76741301962,9577.964354576025,9513.698348565704,9513.599224566939,9610.949230755627,991.0150247863633,991.0262125583339,991.0040660686751,990.9820449199296,990.9820218679148,991.0152756014455
