,SUCEPTIBLE HOST,INFECTED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
0,1000.0,100.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
1,1000.0100040005698,99.87995199316072,9981.019484619263,9986.112718876291,9991.208200385217,9996.305929809145,0.0,0.0,1014.9465492256793,1011.967295302356,1008.9830197718251,1005.9937162844071,0.0,0.0
2,1000.019995991155,99.76004810613784,9962.115723736699,9972.27854659927,9982.450333566578,9992.631089551762,0.0,0.0,1029.7567564491362,1023.8454767752685,1017.9142084531228,1011.962904378654,0.0,0.0
3,1000.0299759865868,99.6402881609566,9943.288296955257,9958.497222406515,9973.726257081695,9988.975417460608,0.0,0.0,1044.4316019754906,1035.6350760882563,1026.7938113592804,1017.9076496357376,0.0,0.0
4,1000.0399440014303,99.52067198283511,9924.536793615114,9944.768491374543,9965.035831533163,9985.338853036039,0.0,0.0,1058.9720428587682,1047.3366128836487,1035.622068524646,1023.8280356643668,0.0,0.0
5,1000.0499000498509,99.40119940178747,9905.860816527062,9931.092106741042,9956.378921861096,9981.721337599452,0.0,0.0,1073.3790042631604,1058.9505900665145,1044.3992125181205,1029.7241435652043,0.0,0.0
6,1000.0598441462329,99.28187024520452,9887.259964323746,9917.467818970383,9947.75539137681,9978.12281171,0.0,0.0,1087.6534206500064,1070.4775161061534,1053.1254787171847,1035.5960555002105,0.0,0.0
7,1000.0697763049278,99.16268434086456,9868.733837989283,9903.895379856353,9939.165104037038,9974.543216166745,0.0,0.0,1101.7962206680934,1081.9178966919822,1061.8011013890837,1041.4438533052455,0.0,0.0
8,1000.0796965402641,99.04364151683019,9850.28204186967,9890.374543037477,9930.607924655367,9970.982492065554,0.0,0.0,1115.8083245128767,1093.2722336232086,1070.4263133281092,1047.2676184163008,0.0,0.0
9,1000.0896048665563,98.92474160132319,9831.904182177566,9876.905063177861,9922.083718522423,9967.440580667773,0.0,0.0,1129.69064768616,1104.5410265358255,1079.0013465083034,1053.0674320463759,0.0,0.0
10,1000.0995012981009,98.8059844227885,9813.599867756666,9863.486696385917,9913.592351599966,9963.91742346734,0.0,0.0,1143.4440990740652,1115.72477201987,1087.526431749882,1058.8433750950958,0.0,0.0
11,1000.1093858491782,98.68736980986047,9795.368709619415,9850.119199965882,9905.133690408134,9960.412962152688,0.0,0.0,1157.0695821089907,1126.823964141571,1096.0017989122462,1064.5955281998574,0.0,0.0
12,1000.1192585340482,98.56889759142244,9777.210321699707,9836.802332826874,9896.707602213402,9956.927138671113,0.0,0.0,1170.5679928773689,1137.8390935821808,1104.4276765715088,1070.323971649245,0.0,0.0
13,1000.129119366956,98.45056759652842,9759.12431985803,9823.535854942567,9888.313954780455,9953.459895143871,0.0,0.0,1183.940222621086,1148.7706487755618,1112.804292446156,1076.0287854972344,0.0,0.0
14,1000.1389683621308,98.33237965443232,9741.110322253791,9810.319527553404,9879.952616465023,9950.01117389795,0.0,0.0,1197.1871568012966,1159.6191154824705,1121.13187323777,1081.7100495204622,0.0,0.0
