,SUCEPTIBLE HOST,INFECTED HOST,RECOVERED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
0,1000.0,100.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1,999.7002753773888,100.28971313515981,0.0100114874515392,9970.638473156145,9973.05369951015,9968.228546100916,9963.40630566108,9963.405775350926,9970.64429944787,999.3002004591598,999.3002488878054,999.3001521124789,999.3000553822092,999.3000553740073,999.3002005492789
2,999.4012506857861,100.57870842016776,0.020040894046315025,9941.52682006007,9946.346604951292,9936.728148731181,9927.121293373139,9927.119179338062,9941.55002427544,998.6011516657567,998.6013453938551,998.600958518079,998.6005719612721,998.6005719031695,998.6011523037525
3,999.1029245322644,100.86698733605614,0.030088131679595485,9912.662136971845,9919.87595618381,9905.495627276392,9891.141280787268,9891.136541108286,9912.714109923782,997.9028532024431,997.9032891226818,997.902419184966,997.9015502925234,997.9015501019599,997.9028552932592
4,998.8052953317998,101.15455156806394,0.04015310013638083,9884.041141758806,9893.638633442388,9874.527386868005,9855.462106279774,9855.453712017887,9884.133092849552,997.2053045900211,997.2060796202351,997.2045340714673,997.2029910003569,997.2029905483242,997.2053095461446
5,998.508361703756,101.4414025840006,0.05023571224355748,9855.661041373238,9867.63198201545,9843.8203689788,9820.080230104328,9820.067163324877,9855.804026721371,996.5085053977962,996.5097164785004,996.5073031245022,996.504894605577,996.50489372276,996.5085150698716
6,998.2121222173763,101.72754190490774,0.060335877716150926,9827.518971212303,9841.853279241912,9813.371437045364,9784.99202267306,9784.9732767063,9827.723890231395,995.8124551794974,995.8141992747479,995.8107262880949,995.80726164508,995.8072601204366,995.8124718707194
7,997.916575439167,102.01297105466891,0.07045350616418274,9799.612098941712,9816.299833215598,9783.177490235485,9750.193896337232,9750.168475625209,9799.889696748864,995.1171534852197,995.1195275828571,995.1148035018184,995.11009264963,995.1100902303791,995.1171799501554
8,997.6217199386771,102.29769155385718,0.0805885074658451,9771.93763959033,9790.968997142303,9753.23547999918,9715.68232457407,9715.649244456481,9772.298510284196,994.4225998615605,994.4257009734627,994.4195346990659,994.4133881392085,994.413384530999,994.4226393028787
9,997.3275542880426,102.5817049202292,0.09074079172835159,9744.492847599664,9765.85816176606,9723.542401283281,9681.453831700772,9681.412118237231,9744.947436973203,993.7287938521588,993.7327190144558,993.7249198080133,993.7171486247047,993.717143491756,993.7288499178775
